Source,Target,sum_appearance,percent,log_ratio,probability
II42,♭iii°7,1,4.6781437125748506e-05,8.603467330020804,1.0
II6,I,3,0.0001403443113772455,0.41755984853847944,0.25
II6,V,9,0.00042103293413173654,1.8473104351897809,0.75
II64,♭III64,1,4.6781437125748506e-05,8.19800222191264,0.3333333333333333
II64,♯IV7,1,4.6781437125748506e-05,6.493254129674215,0.3333333333333333
II64,♯i°7,1,4.6781437125748506e-05,7.7925371138044754,0.3333333333333333
II7,I,10,0.00046781437125748503,-0.537951596488957,0.09803921568627451
II7,II7,6,0.000280688622754491,2.492739362086004,0.058823529411764705
II7,IV,17,0.0007952844311377245,0.183951824623712,0.16666666666666666
II7,IV7,1,4.6781437125748506e-05,1.7344528793550975,0.00980392156862745
II7,V,47,0.0021987275449101796,1.3407492102102476,0.46078431372549017
II7,V7,3,0.0001403443113772455,1.0826909149580064,0.029411764705882353
II7,VII7,1,4.6781437125748506e-05,2.7063134623840632,0.00980392156862745
II7,i,1,4.6781437125748506e-05,-1.9496856244633083,0.00980392156862745
II7,ii,3,0.0001403443113772455,-0.08543575759479367,0.029411764705882353
II7,v,3,0.0001403443113772455,0.7203979787150506,0.029411764705882353
II7,v6,3,0.0001403443113772455,3.3994606429440086,0.029411764705882353
II7,vi,4,0.00018712574850299402,-0.48724455449984766,0.0392156862745098
II7,vi7,2,9.356287425149701e-05,1.2510262297772212,0.0196078431372549
II7,♭II7,1,4.6781437125748506e-05,4.246758503331212,0.00980392156862745
II9,IV,3,0.0001403443113772455,1.9951293797088685,1.0
III,I,2,9.356287425149701e-05,-4.691411346278638,0.0015325670498084292
III,II,29,0.0013566616766467067,0.14277881080490082,0.022222222222222223
III,II7,10,0.00046781437125748503,0.45954314849641403,0.007662835249042145
III,III,42,0.001964820359281437,-0.6493941635698443,0.03218390804597701
III,III64,1,4.6781437125748506e-05,0.6041243773075218,0.0007662835249042146
III,III7,11,0.0005145958083832336,1.349096625732053,0.00842911877394636
III,IIIM7,6,0.000280688622754491,2.8013489546437413,0.004597701149425287
III,IIM7,32,0.0014970059880239522,2.683565918987358,0.024521072796934867
III,IV,130,0.006081586826347306,-0.32574890633250225,0.09961685823754789
III,V,17,0.0007952844311377245,-2.2202068847991754,0.013026819923371647
III,V7,13,0.0006081586826347306,0.005006146395852714,0.00996168582375479
III,VI,171,0.007999625748502994,0.7538447727260784,0.1310344827586207
III,VI6,6,0.000280688622754491,1.820519701632015,0.004597701149425287
III,VI64,7,0.0003274700598802395,1.058379649585118,0.0053639846743295016
III,VII,439,0.020537050898203593,1.7621755825143053,0.3363984674329502
III,VII6,51,0.002385853293413174,2.338725432695628,0.03908045977011494
III,VIIM7,2,9.356287425149701e-05,2.8013489546437413,0.0015325670498084292
III,VIM7,6,0.000280688622754491,0.4187211539761589,0.004597701149425287
III,i,119,0.0055669910179640715,0.2854160312926402,0.09118773946360154
III,i43,1,4.6781437125748506e-05,2.8013489546437413,0.0007662835249042146
III,i7,26,0.0012163173652694611,1.0896321930892225,0.01992337164750958
III,ii,3,0.0001403443113772455,-2.6294575949503747,0.0022988505747126436
III,iii,4,0.00018712574850299402,-1.535941786188749,0.0030651340996168583
III,iv,49,0.0022922904191616765,0.9248482569605954,0.037547892720306515
III,iv11,1,4.6781437125748506e-05,1.0095894854156862,0.0007662835249042146
III,v,11,0.0005145958083832336,-0.5243408745102691,0.00842911877394636
III,vi,19,0.0008888473053892215,-1.4731217738088787,0.014559386973180077
III,vi7,1,4.6781437125748506e-05,-1.986142788138305,0.0007662835249042146
III,vii,1,4.6781437125748506e-05,-1.4033436647472248,0.0007662835249042146
III,♭II,5,0.00023390718562874252,0.5189665689672147,0.0038314176245210726
III,♭III7,1,4.6781437125748506e-05,2.8013489546437413,0.0007662835249042146
III,♭IIM7,3,0.0001403443113772455,1.2609039136965923,0.0022988505747126436
III,♭V,4,0.00018712574850299402,1.7027366659756316,0.0030651340996168583
III,♯V7,14,0.000654940119760479,2.7323560831567892,0.010727969348659003
III,♯VI,1,4.6781437125748506e-05,-0.4567475833777408,0.0007662835249042146
III,♯VII,4,0.00018712574850299402,1.1919110422096408,0.0030651340996168583
III,♯VII+,3,0.0001403443113772455,2.8013489546437413,0.0022988505747126436
III,♯i,6,0.000280688622754491,0.2236605714047746,0.004597701149425287
III,♯iv,53,0.0024794161676646707,1.8299984455865586,0.04061302681992337
III,♯iv7,1,4.6781437125748506e-05,1.1919110422096408,0.0007662835249042146
III6,VI,3,0.0001403443113772455,1.7019816640522623,0.3333333333333333
III6,iv,5,0.00023390718562874252,3.6336540304448035,0.5555555555555556
III6,vi,1,4.6781437125748506e-05,0.5736274061854152,0.1111111111111111
III64,III,1,4.6781437125748506e-05,0.6041243773075218,0.1111111111111111
III64,IV,1,4.6781437125748506e-05,-0.20209519762735062,0.1111111111111111
III64,VI,4,0.00018712574850299402,1.9896637365040433,0.4444444444444444
III64,VII,1,4.6781437125748506e-05,0.6688643285998682,0.1111111111111111
III64,i,1,4.6781437125748506e-05,0.4974806973418451,0.1111111111111111
III64,vii,1,4.6781437125748506e-05,3.5878444944135093,0.1111111111111111
III7,IV,6,0.000280688622754491,-0.06325875277313502,0.1276595744680851
III7,VI,11,0.0005145958083832336,1.348341623808684,0.23404255319148937
III7,i,1,4.6781437125748506e-05,-1.1554423270319945,0.02127659574468085
III7,vi,29,0.0013566616766467067,2.28800021179805,0.6170212765957447
IIIM7,♯iv,6,0.000280688622754491,5.04811926853139,1.0
IIM7,VI,36,0.0016841317365269462,2.800593952720372,1.0
IM7,I,6,0.000280688622754491,-0.5787735910092122,0.09230769230769231
IM7,I7,4,0.00018712574850299402,2.8322209298979266,0.06153846153846154
IM7,III,6,0.000280688622754491,0.4187211539761589,0.09230769230769231
IM7,IV,31,0.0014502245508982035,1.2547293142983775,0.47692307692307695
IM7,ii,11,0.0005145958083832336,1.6838508557812029,0.16923076923076924
IM7,vi,6,0.000280688622754491,0.38822418285405225,0.09230769230769231
IM7,vi7,1,4.6781437125748506e-05,1.0278826784630113,0.015384615384615385
IV,I,1065,0.04982223053892216,0.7799519763700697,0.3617527173913043
IV,I6,36,0.0016841317365269462,1.484303755942878,0.012228260869565218
IV,I7,18,0.0008420658682634731,0.5160532851380119,0.006114130434782609
IV,II,10,0.00046781437125748503,-1.7281515011224002,0.0033967391304347825
IV,II7,23,0.0010759730538922156,0.48623269649664574,0.0078125
IV,III,26,0.0012163173652694611,-1.9351868187666028,0.008831521739130434
IV,III6,3,0.0001403443113772455,0.896517091040759,0.0010190217391304348
IV,IM7,3,0.0001403443113772455,-1.080645601518659,0.0010190217391304348
IV,IV,131,0.006128368263473054,-1.1243056085218057,0.044497282608695655
IV,IV6,24,0.001122754491017964,0.7543426022602165,0.008152173913043478
IV,IV7,20,0.0009356287425149701,1.3799437406186352,0.006793478260869565
IV,IVM7,1,4.6781437125748506e-05,-2.099215182513232,0.00033967391304347825
IV,V,617,0.028864146706586827,0.5652292201151237,0.20957880434782608
IV,V6,29,0.0013566616766467067,0.42078278708603833,0.00985054347826087
IV,V7,25,0.0011695359281437125,-0.14728696113235576,0.008491847826086956
IV,VI,65,0.003040793413173653,-1.0196510888158166,0.022078804347826088
IV,VI7,2,9.356287425149701e-05,-0.2561624188976264,0.0006793478260869565
IV,VII,81,0.0037892964071856287,-0.7340942508232998,0.02751358695652174
IV,VII64,3,0.0001403443113772455,0.3856914672747683,0.0010190217391304348
IV,i,137,0.006409056886227545,-0.37994611092563657,0.04653532608695652
IV,i7,15,0.0007017215568862275,-0.2666337187649219,0.005095108695652174
IV,ii,89,0.004163547904191617,-0.045653088821216846,0.030230978260869564
IV,ii7,37,0.0017309131736526946,0.35377386430646324,0.012567934782608696
IV,iii,50,0.002339071856287425,0.18356728318463394,0.016983695652173912
IV,iii°,1,4.6781437125748506e-05,1.9951293797088687,0.00033967391304347825
IV,iv,52,0.0024326347305389222,0.17805210249652376,0.017663043478260868
IV,iv7,1,4.6781437125748506e-05,-0.569819977752668,0.00033967391304347825
IV,iv°,4,0.00018712574850299402,1.9951293797088687,0.001358695652173913
IV,v,50,0.002339071856287425,0.18356728318463394,0.016983695652173912
IV,vi,172,0.008046407185628742,-0.07628585109673858,0.058423913043478264
IV,vi64,3,0.0001403443113772455,1.9951293797088685,0.0010190217391304348
IV,vi7,27,0.0012630988023952096,0.5034745029311517,0.009171195652173914
IV,vii,1,4.6781437125748506e-05,-2.2095632396820974,0.00033967391304347825
IV,♭III,28,0.001309880239520958,-0.04794451780009234,0.009510869565217392
